trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-70.19548658202346,"{0: 13, 1: 6, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-124.96902557044423,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-44.77515834500949,"{0: 12, 1: 6, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-166.71551183361032,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,1,-68.94891275743586,"{0: 19, 1: 7, 2: 2, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-101.31090845096843,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-138.40247585611883,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-104.68252829874842,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-121.70168257646831,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-74.14093455512331,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-207.86088859610524,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,19,-2.607889790170896,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-75.65289832092138,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-62.73668740657178,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-60.73611320292112,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-211.56751427979373,"{0: 12, 1: 5, 2: 4, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-74.84314483159656,"{0: 9, 1: 6, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-32.04824578759905,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-29.47607309734908,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-125.89267951379935,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",30,0,-176.04316845972915,"{0: 13, 1: 5, 2: 10, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",30,0,-151.68959174490962,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",25,0,-57.00627596817636,"{0: 14, 1: 8, 2: 3, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",30,0,-125.52102382795233,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-113.7380693336276,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,0,-82.94278504182525,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-52.10743135452723,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-72.61207305307266,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-59.728720343198496,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-83.63380884630406,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
