trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.008, 'e': 1.0}",25,0,-122.31891067013488,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.008, 'e': 0.9920319148370607}",20,0,-90.29028545217388,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.008, 'e': 0.9841273200552851}",25,0,-93.74441460155353,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.008, 'e': 0.9762857097579093}",30,0,-162.21174627235655,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
5,False,"{'a': 0.008, 'e': 0.9685065820791976}",25,0,-141.19002975993178,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
6,False,"{'a': 0.008, 'e': 0.9607894391523232}",20,0,-25.159463966121052,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.008, 'e': 0.9531337870775047}",25,0,-168.26682652417256,"{0: 12, 1: 1, 2: 10, 3: 0, 4: 2}",0
8,False,"{'a': 0.008, 'e': 0.9455391358903963}",30,0,-99.3695535670933,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
9,False,"{'a': 0.008, 'e': 0.9380049995307295}",20,0,-58.9879453742451,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.008, 'e': 0.9305308958112057}",20,0,-38.643893744168096,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.008, 'e': 0.9231163463866358}",25,0,-104.73559350969371,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.008, 'e': 0.9157608767233256}",25,0,-157.1162888214538,"{0: 11, 1: 2, 2: 10, 3: 1, 4: 1}",0
13,False,"{'a': 0.008, 'e': 0.9084640160687062}",20,10,-40.773334882951474,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.008, 'e': 0.9012252974212047}",20,0,-49.7887277314475,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
15,False,"{'a': 0.008, 'e': 0.8940442575003572}",35,0,-112.17028228222541,"{0: 25, 1: 4, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.008, 'e': 0.8869204367171575}",25,0,-83.07645728811089,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.008, 'e': 0.8798533791446438}",20,0,-124.65446642560957,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.008, 'e': 0.8728426324887193}",20,0,13.46433439074605,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.008, 'e': 0.865887748059205}",20,0,-146.37633811117226,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
20,False,"{'a': 0.008, 'e': 0.8589882807411234}",25,0,-104.34816538742714,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
21,False,"{'a': 0.008, 'e': 0.8521437889662113}",20,9,2.014879636997434,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.008, 'e': 0.8453538346846587}",20,9,-42.12592411557467,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
23,False,"{'a': 0.008, 'e': 0.838617983337074}",30,0,-59.86084783375578,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
24,False,"{'a': 0.008, 'e': 0.8319358038266718}",20,0,-123.16495340890377,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
25,False,"{'a': 0.008, 'e': 0.8253068684916823}",20,1,-49.9634709041865,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 1}",1
26,False,"{'a': 0.008, 'e': 0.8187307530779818}",20,0,-105.611402930132,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
27,False,"{'a': 0.008, 'e': 0.812207036711939}",20,1,-104.5454757232329,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 1}",1
28,False,"{'a': 0.008, 'e': 0.8057353018734796}",20,0,-111.84180152665486,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
29,False,"{'a': 0.008, 'e': 0.7993151343693651}",20,14,-3.715803270978898,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.008, 'e': 0.7929461233066837}",25,19,9.529037575341858,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.008, 'e': 0.7866278610665535}",20,7,-15.950738733617381,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
32,False,"{'a': 0.008, 'e': 0.7803599432780343}",20,12,-23.927361185042137,"{0: 4, 1: 2, 2: 2, 3: 0, 4: 0}",1
33,False,"{'a': 0.008, 'e': 0.7741419687922484}",30,0,-145.5061821861516,"{0: 21, 1: 2, 2: 4, 3: 0, 4: 3}",0
34,False,"{'a': 0.008, 'e': 0.7679735396567061}",20,0,-44.53757358613811,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
35,False,"{'a': 0.008, 'e': 0.7618542610898376}",35,10,-113.5318054793276,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",1
36,False,"{'a': 0.008, 'e': 0.7557837414557255}",20,0,-72.64533899441165,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
37,False,"{'a': 0.008, 'e': 0.7497615922390413}",25,0,-112.2722192810742,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
38,False,"{'a': 0.008, 'e': 0.7437874280201796}",25,0,-86.00229066752783,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
39,False,"{'a': 0.008, 'e': 0.7378608664505911}",30,0,-188.1799998836772,"{0: 15, 1: 3, 2: 9, 3: 1, 4: 2}",0
40,False,"{'a': 0.008, 'e': 0.7319815282283126}",20,14,9.22651754072605,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.008, 'e': 0.7261490370736909}",25,0,-12.623742246553443,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
42,False,"{'a': 0.008, 'e': 0.7203630197053014}",25,0,-139.25655068816818,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
43,False,"{'a': 0.008, 'e': 0.7146231058160573}",30,0,-140.5212736545534,"{0: 24, 1: 2, 2: 0, 3: 0, 4: 4}",0
44,False,"{'a': 0.008, 'e': 0.7089289280495107}",20,5,-84.53561614123535,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 1}",1
45,False,"{'a': 0.008, 'e': 0.7032801219763409}",25,0,-101.67045049633026,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
46,False,"{'a': 0.008, 'e': 0.697676326071031}",25,0,-92.35849479998484,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
47,False,"{'a': 0.008, 'e': 0.6921171816887304}",30,0,-101.70163145559802,"{0: 18, 1: 6, 2: 5, 3: 0, 4: 1}",0
48,False,"{'a': 0.008, 'e': 0.686602333042301}",20,0,-48.801088222007444,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
49,False,"{'a': 0.008, 'e': 0.6811314271795471}",35,0,-83.18951815779369,"{0: 26, 1: 1, 2: 7, 3: 0, 4: 1}",0
50,False,"{'a': 0.008, 'e': 0.675704113960626}",20,0,-60.450804330194245,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
