trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-42.68161741307682,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-174.0108794125147,"{0: 13, 1: 7, 2: 8, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-187.90204339519673,"{0: 11, 1: 7, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.14499050013599,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.38977078543724,"{0: 11, 1: 3, 2: 10, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,8,-68.84220070079252,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,4,-98.9494994786375,"{0: 8, 1: 2, 2: 4, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-69.94769685757862,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-170.28005511103072,"{0: 15, 1: 6, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,1,-110.74116243796044,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 1}",1
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-179.77780433378754,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.229226937335646,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.46783178421965,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.33607857496433,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",35,0,-152.37351384757534,"{0: 22, 1: 4, 2: 6, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-186.33755492285724,"{0: 17, 1: 1, 2: 8, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,3,-69.05403595230952,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-131.96098182572254,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.0418244448333,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-91.25482152816858,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-78.60711920645024,"{0: 18, 1: 6, 2: 5, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-143.86845832753866,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,14,-38.27204570349881,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-110.10126545609891,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-109.95032470929632,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,14,-184.2216526467019,"{0: 8, 1: 2, 2: 1, 3: 1, 4: 4}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-120.8241467137987,"{0: 9, 1: 1, 2: 9, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-151.1699240230169,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-78.37921847650983,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-208.7526131487764,"{0: 15, 1: 3, 2: 9, 3: 0, 4: 3}",0
11,True,"{'a': 0.5, 'e': 1.0}",20,0,-64.20779388934896,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
12,True,"{'a': 0.5, 'e': 1.0}",20,0,-166.45670967306964,"{0: 7, 1: 3, 2: 8, 3: 0, 4: 2}",0
13,True,"{'a': 0.5, 'e': 1.0}",20,0,-124.86712049629648,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
14,True,"{'a': 0.5, 'e': 1.0}",20,0,-100.52284290572041,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
15,True,"{'a': 0.5, 'e': 1.0}",20,0,-115.70239872924455,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
16,True,"{'a': 0.5, 'e': 1.0}",30,1,-127.9392796493656,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 2}",1
17,True,"{'a': 0.5, 'e': 1.0}",25,0,-45.40103291415382,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
18,True,"{'a': 0.5, 'e': 1.0}",20,0,-83.76307129764534,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
19,True,"{'a': 0.5, 'e': 1.0}",20,0,-150.10343076369776,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
20,True,"{'a': 0.5, 'e': 1.0}",20,0,-110.19191842651115,"{0: 7, 1: 9, 2: 3, 3: 0, 4: 1}",0
